detIndex;capSecuencia;depTipoObjVer;depCodObjVer;depDesCambio;depJusCambio;depOrigen;depDestino;depCodProv;depDevInt
1;670;O;41236;PROCESO DE TRANSFERENCIA MASIVA DE EMPLEADOS;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ACTUALI_P9227_SPYRAL;\\SRBP00AP01\SPYRAL_PRDCCN_01;NULL;NULL
1;671;O;41155;SE AÑADIO 2 COLUMNAS AL REPORTE;NULL;DV812;PD812;NULL;NULL
1;672;O;41239;NUEVO;NULL;DV812;PD812;NULL;NULL
1;673;O;41245;SCRIPT DE MATRICULACION DE COMISIONISTAS;NULL;DV812;PD812;NULL;NULL
1;674;O;40439;MODIFICACION DE CAMPO CLIENTE;NULL;\\SRBP00AP03\PASEVERSION;SERVIDOR SRBP00EODB BASE JDE_PRODUCTION;NULL;NULL
1;675;V;15173;CONFIG.OPC.PROCESOS Y SELECCION DE DATOS;NULL;DV812;PD812;NULL;NULL
1;676;O;41238;CORRECCION PARA QUE COLOQUE EN EL CAMPO PUORG EL VALOR ABIERTO Y NO CERO COMO ESTABA GRABANDO;NULL;DV812;PD812;NULL;NULL
1;677;O;41246;SE INCLUYO UN QUERY DE AGRUPACION PARA MOSTRAR LOS DATOS COMO PIDE AUDITORIA;NULL;\\E3SIS050\TICKETS\ID. 51902 SCRIPT AUDITORIA\V02\EONPQ001 - V03.SQL;SRBP00PS02\JDE_PRODUCTION;NULL;NULL
1;678;O;27952;MODIFICACION - SE MODIFICO PARA QUE EL REPORTE DRIVER DE CETRAS PUEDA GENERAR TIPOS DE DOCUEMENTO VZ;NULL;DV812;PD812;NULL;NULL
1;679;O;27706;VOLVER A GENERAR PAQUETE;NULL;DV812;PD812;NULL;NULL
1;680;V;15169;NULL;NULL;DV812;PD812;NULL;NULL
1;681;O;27799;SE CAMBIO LEYENDA EN O/S O/C;NULL;DV812;PD812;NULL;NULL
1;682;O;40309;MODIFICACION PARA SACAR EL CAMPO ANI Y ENVIARLO ALA FUNCION NIVEL 6;NULL;DV812;PD812;NULL;NULL
1;683;V;10210;CAMBIO SELECCION DE DATOS Y CSV;NULL;DV812;PD812;NULL;NULL
1;684;V;10210;NULL;NULL;DV812;PD812;NULL;NULL
1;685;O;41247;SE INCLUYO FORMULA PARA FORMAR NUMERO FACTURA SRI;NULL;\\E3SIS050\TICKETS\ID. 51902 SCRIPT AUDITORIA\V02\EONPQ001 - V03.SQL;SRBP00PS02\JDE_PRODUCTION;NULL;NULL
1;686;O;41247;SE INCLUYO FORMULA PARA FORMAR NUMERO FACTURA SRI;NULL;\\E3SIS050\TICKETS\ID. 51902 SCRIPT AUDITORIA\V02\EONPQ001 - V03.SQL;SRBP00PS02\JDE_PRODUCTION;NULL;NULL
